filename,width,height,class,xmin,ymin,xmax,ymax
n02085620_10074.jpg,333,500,Chihuahua,25,10,276,498
n02085620_10131.jpg,395,495,Chihuahua,49,9,393,493
n02085620_10621.jpg,500,298,Chihuahua,142,43,335,250
n02085620_1073.jpg,345,500,Chihuahua,0,27,312,498
n02085620_10976.jpg,322,484,Chihuahua,90,104,242,452
n02085620_11140.jpg,500,375,Chihuahua,17,38,451,253
n02085620_11238.jpg,382,384,Chihuahua,39,191,145,383
n02085620_11477.jpg,887,629,Chihuahua,317,95,558,459
n02085620_1152.jpg,500,375,Chihuahua,3,81,156,225
n02085620_1152.jpg,500,375,Chihuahua,147,65,323,324
n02085620_1152.jpg,500,375,Chihuahua,391,111,437,167
n02085620_11696.jpg,800,600,Chihuahua,211,0,696,516
n02085620_11818.jpg,375,500,Chihuahua,121,90,302,343
n02085620_11948.jpg,500,464,Chihuahua,0,16,461,436
n02085620_1205.jpg,500,375,Chihuahua,146,0,350,239
n02085620_12101.jpg,380,253,Chihuahua,5,4,350,252
n02085620_1235.jpg,500,375,Chihuahua,194,111,275,299
n02085620_1271.jpg,360,351,Chihuahua,19,3,324,350
n02085620_12718.jpg,333,500,Chihuahua,26,42,304,487
n02085620_1298.jpg,480,333,Chihuahua,151,94,438,230
n02085620_13151.jpg,500,336,Chihuahua,176,29,379,333
n02085620_1321.jpg,500,333,Chihuahua,111,42,248,314
n02085620_13383.jpg,493,500,Chihuahua,156,242,334,498
n02085620_13964.jpg,375,500,Chihuahua,96,133,373,495
n02085620_14413.jpg,640,853,Chihuahua,142,123,546,850
n02085620_14516.jpg,640,480,Chihuahua,51,2,487,478
n02085620_1455.jpg,333,500,Chihuahua,60,153,331,498
n02085620_1492.jpg,500,333,Chihuahua,58,143,190,332
n02085620_1502.jpg,500,333,Chihuahua,51,13,418,331
n02085620_1558.jpg,366,500,Chihuahua,0,6,327,493
n02085620_1617.jpg,357,238,Chihuahua,2,6,356,237
n02085620_1620.jpg,500,375,Chihuahua,25,0,465,374
n02085620_1765.jpg,391,500,Chihuahua,55,85,327,437
n02085620_1862.jpg,375,500,Chihuahua,152,107,228,247
n02085620_1916.jpg,500,495,Chihuahua,8,7,456,397
n02085620_2053.jpg,500,375,Chihuahua,176,73,441,366
n02085620_2188.jpg,375,500,Chihuahua,46,98,327,498
n02085620_2204.jpg,500,337,Chihuahua,267,76,350,223
n02085620_2204.jpg,500,337,Chihuahua,189,107,263,212
n02085620_2479.jpg,330,251,Chihuahua,40,16,260,239
n02085620_2507.jpg,500,375,Chihuahua,79,35,324,322
n02085620_2517.jpg,500,375,Chihuahua,125,26,372,314
n02085620_2590.jpg,448,336,Chihuahua,201,88,417,239
n02085620_2614.jpg,500,375,Chihuahua,123,2,305,374
n02085620_2693.jpg,500,500,Chihuahua,188,140,325,307
n02085620_2706.jpg,320,240,Chihuahua,105,39,229,217
n02085620_2793.jpg,352,288,Chihuahua,23,0,351,287
n02085620_2815.jpg,500,600,Chihuahua,60,6,495,597
n02085620_2887.jpg,345,360,Chihuahua,16,23,289,355
n02085620_2903.jpg,500,333,Chihuahua,210,57,468,332
n02085620_2921.jpg,250,238,Chihuahua,30,15,202,224
n02085620_2937.jpg,360,273,Chihuahua,121,28,256,192
n02085620_3033.jpg,500,375,Chihuahua,164,137,456,335
n02085620_3045.jpg,445,500,Chihuahua,101,106,318,343
n02085620_3093.jpg,375,500,Chihuahua,155,183,320,427
n02085620_3110.jpg,450,338,Chihuahua,98,32,285,258
n02085620_3208.jpg,500,375,Chihuahua,100,21,451,374
n02085620_326.jpg,333,500,Chihuahua,0,66,264,470
n02085620_3402.jpg,500,375,Chihuahua,155,117,466,297
n02085620_3407.jpg,500,375,Chihuahua,0,14,478,304
n02085620_3409.jpg,500,333,Chihuahua,2,1,389,331
n02085620_3423.jpg,200,262,Chihuahua,27,27,174,196
n02085620_3485.jpg,320,319,Chihuahua,25,9,282,315
n02085620_3488.jpg,500,375,Chihuahua,78,67,424,326
n02085620_3593.jpg,200,229,Chihuahua,2,7,199,227
n02085620_3651.jpg,500,375,Chihuahua,152,216,275,370
n02085620_3677.jpg,500,375,Chihuahua,67,24,499,308
n02085620_368.jpg,500,333,Chihuahua,155,24,418,316
n02085620_3681.jpg,500,500,Chihuahua,128,26,406,442
n02085620_3742.jpg,599,428,Chihuahua,72,24,538,408
n02085620_3763.jpg,157,211,Chihuahua,6,0,131,131
n02085620_3826.jpg,500,333,Chihuahua,2,0,454,332
n02085620_3838.jpg,468,344,Chihuahua,75,2,349,324
n02085620_3875.jpg,500,333,Chihuahua,125,14,340,332
n02085620_3877.jpg,333,500,Chihuahua,0,17,331,498
n02085620_3880.jpg,359,500,Chihuahua,1,63,281,498
n02085620_3928.jpg,500,375,Chihuahua,75,21,399,374
n02085620_3942.jpg,478,500,Chihuahua,10,11,440,498
n02085620_3975.jpg,336,500,Chihuahua,45,63,274,463
n02085620_4016.jpg,640,480,Chihuahua,2,8,629,478
n02085620_4159.jpg,500,333,Chihuahua,167,78,287,319
n02085620_4207.jpg,500,333,Chihuahua,19,16,464,317
n02085620_4290.jpg,351,500,Chihuahua,36,155,290,458
n02085620_431.jpg,500,375,Chihuahua,180,113,387,360
n02085620_4515.jpg,500,385,Chihuahua,94,127,222,327
n02085620_4572.jpg,500,405,Chihuahua,67,137,222,380
n02085620_4700.jpg,375,500,Chihuahua,30,32,372,498
n02085620_473.jpg,500,333,Chihuahua,173,4,383,242
n02085620_473.jpg,500,333,Chihuahua,43,146,251,319
n02085620_477.jpg,500,334,Chihuahua,209,6,452,284
n02085620_4814.jpg,239,252,Chihuahua,25,19,221,238
n02085620_4875.jpg,500,467,Chihuahua,17,3,494,457
n02085620_4980.jpg,500,334,Chihuahua,153,93,323,205
n02085620_4998.jpg,500,375,Chihuahua,129,124,323,374
n02085620_500.jpg,500,375,Chihuahua,8,87,432,340
n02085620_5312.jpg,500,374,Chihuahua,42,11,499,373
n02085620_5496.jpg,500,333,Chihuahua,0,9,284,332
n02085620_5661.jpg,500,375,Chihuahua,114,180,253,311
n02085620_5661.jpg,500,375,Chihuahua,176,42,422,286
n02085620_5713.jpg,500,405,Chihuahua,158,14,482,403
n02085620_574.jpg,500,375,Chihuahua,61,65,433,374
n02085620_575.jpg,500,377,Chihuahua,112,49,286,327
n02085620_575.jpg,500,377,Chihuahua,249,51,384,339
n02085620_5771.jpg,281,500,Chihuahua,124,234,252,371
n02085620_588.jpg,334,500,Chihuahua,78,117,321,473
n02085620_6295.jpg,338,500,Chihuahua,70,148,179,430
n02085620_6399.jpg,300,225,Chihuahua,107,70,235,147
n02085620_7.jpg,250,188,Chihuahua,71,1,192,180
n02085620_730.jpg,500,375,Chihuahua,177,134,347,367
n02085620_735.jpg,223,287,Chihuahua,92,71,185,286
n02085620_7436.jpg,375,500,Chihuahua,0,25,373,498
n02085620_7440.jpg,500,375,Chihuahua,21,0,473,374
n02085620_7700.jpg,500,375,Chihuahua,0,0,379,374
n02085620_8420.jpg,500,332,Chihuahua,53,68,312,249
n02085620_8491.jpg,400,359,Chihuahua,17,17,386,342
n02085620_8558.jpg,215,214,Chihuahua,49,35,171,154
n02085620_8578.jpg,500,353,Chihuahua,62,35,336,323
n02085620_8585.jpg,500,332,Chihuahua,125,9,321,267
n02085620_8611.jpg,332,332,Chihuahua,105,12,254,266
n02085620_8636.jpg,500,375,Chihuahua,45,130,204,262
n02085620_8637.jpg,500,375,Chihuahua,143,46,457,301
n02085620_9351.jpg,500,375,Chihuahua,139,12,359,327
n02085620_9357.jpg,500,319,Chihuahua,63,90,418,248
n02085620_9399.jpg,500,375,Chihuahua,149,74,286,249
n02085620_9414.jpg,500,375,Chihuahua,42,0,343,281
n02085620_952.jpg,416,530,Chihuahua,107,29,370,498
n02085620_9654.jpg,461,500,Chihuahua,0,36,420,498
n02085782_1039.jpg,500,375,Japanese_spaniel,1,1,374,374
n02085782_1058.jpg,240,182,Japanese_spaniel,82,53,169,127
n02085782_1059.jpg,550,413,Japanese_spaniel,142,8,361,410
n02085782_1077.jpg,519,334,Japanese_spaniel,27,36,505,316
n02085782_1156.jpg,640,480,Japanese_spaniel,92,55,423,355
n02085782_1224.jpg,210,210,Japanese_spaniel,33,28,171,185
n02085782_126.jpg,437,382,Japanese_spaniel,43,27,388,346
n02085782_1267.jpg,150,103,Japanese_spaniel,13,5,139,98
n02085782_1284.jpg,640,479,Japanese_spaniel,29,97,539,378
n02085782_1348.jpg,600,448,Japanese_spaniel,2,113,454,379
n02085782_1350.jpg,332,218,Japanese_spaniel,90,16,205,131
n02085782_1353.jpg,320,240,Japanese_spaniel,116,25,299,239
n02085782_1401.jpg,190,168,Japanese_spaniel,16,12,177,150
n02085782_1425.jpg,125,100,Japanese_spaniel,10,2,118,99
n02085782_143.jpg,250,269,Japanese_spaniel,0,6,249,268
n02085782_1460.jpg,358,370,Japanese_spaniel,94,31,305,351
n02085782_1503.jpg,216,288,Japanese_spaniel,26,22,185,287
n02085782_1521.jpg,191,178,Japanese_spaniel,2,3,189,169
n02085782_1528.jpg,301,271,Japanese_spaniel,55,13,274,270
n02085782_1552.jpg,180,230,Japanese_spaniel,0,8,155,229
n02085782_1600.jpg,500,436,Japanese_spaniel,0,90,294,434
n02085782_1600.jpg,500,436,Japanese_spaniel,65,5,494,385
n02085782_1610.jpg,250,197,Japanese_spaniel,10,11,248,188
n02085782_1656.jpg,230,161,Japanese_spaniel,7,5,220,154
n02085782_1665.jpg,300,225,Japanese_spaniel,116,24,182,94
n02085782_1691.jpg,225,293,Japanese_spaniel,24,114,202,268
n02085782_17.jpg,393,425,Japanese_spaniel,48,102,367,367
n02085782_172.jpg,200,150,Japanese_spaniel,19,22,199,143
n02085782_1724.jpg,500,375,Japanese_spaniel,56,22,499,374
n02085782_1750.jpg,500,375,Japanese_spaniel,91,55,483,346
n02085782_1764.jpg,400,322,Japanese_spaniel,29,30,370,289
n02085782_1774.jpg,143,225,Japanese_spaniel,0,28,141,149
